,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
151,Ex edificio scolastico Ripetta,41.90712659,12.47574594,PizzaRé,41.90922554293107,12.476175260160238,Pizza Place
152,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Osteria Siciliana,41.90416,12.47805,Diner
153,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Ristorante Brunetti,41.909096721828035,12.476622510619377,Italian Restaurant
154,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Pompi,41.90641833068196,12.480571319300683,Dessert Shop
155,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Le carré français,41.905235529751195,12.47201488644283,Bistro
156,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Louis Vuitton,41.9038492,12.4788223,Boutique
157,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Palazzo Dama,41.910499370716835,12.47367641711897,Hotel
158,Scuola Parini,41.94369586,12.52866885,Paninoteca Beer Shop Come Va Va,41.94450064175763,12.529066175601557,Sandwich Place
159,Scuola Parini,41.94369586,12.52866885,Enoteca Di Biagio,41.94530388661214,12.52659577823757,Wine Shop
160,Scuola Parini,41.94369586,12.52866885,Gusto Più,41.944925412161616,12.527133292627138,Pizza Place
161,Scuola Parini,41.94369586,12.52866885,Dao,41.9458425785634,12.529094944769831,Chinese Restaurant
162,Scuola Parini,41.94369586,12.52866885,Vintro Bar & Bites,41.94587768318131,12.529956164546036,Bistro
163,Scuola Parini,41.94369586,12.52866885,Ristorante Cinese la Capitale,41.94453446910152,12.527738286699098,Chinese Restaurant
164,Scuola Parini,41.94369586,12.52866885,Il Vigneto,41.943546614096476,12.528828615144652,Chinese Restaurant
165,Scuola Parini,41.94369586,12.52866885,Iti Sushi,41.94475,12.52964,Noodle House
166,Scuola Parini,41.94369586,12.52866885,Pizzando Grigliando,41.94615,12.5257,BBQ Joint
167,Scuola Parini,41.94369586,12.52866885,Sapporo,41.941665398075806,12.524807486029989,Japanese Restaurant
168,Scuola Parini,41.94369586,12.52866885,Hostaria Calice D'oro,41.94671551650305,12.533150010634227,Italian Restaurant
169,Scuola Parini,41.94369586,12.52866885,Fualdè L'Assaggio,41.94579005481407,12.524444727181102,Italian Restaurant
170,Scuola Parini,41.94369586,12.52866885,Genkai,41.94559885889068,12.531551546481497,Japanese Restaurant
171,Scuola Parini,41.94369586,12.52866885,Piazza Capri,41.94367430868055,12.527800160282847,Plaza
172,Scuola Parini,41.94369586,12.52866885,Vineria Naturale ORGANIC%L,41.94565727175497,12.531105273926297,Wine Shop
173,Scuola Parini,41.94369586,12.52866885,Casanova,41.940552963807086,12.527674778790516,Cocktail Bar
174,Scuola Parini,41.94369586,12.52866885,Bar Conca d'Oro,41.94021513226116,12.52818668560032,Café
175,Scuola Parini,41.94369586,12.52866885,Al Basha,41.939815,12.52783723,Middle Eastern Restaurant
176,Scuola Parini,41.94369586,12.52866885,Metro Conca D'Oro (MB1),41.93948573106241,12.527954578399658,Metro Station
177,Scuola Parini,41.94369586,12.52866885,Via Monte Ruggero,41.94789276617319,12.527643309801302,Plaza
178,Ex impianto Acea Oletta,41.72858824,12.29036591,Gelateria al 29,41.727129,12.291386,Ice Cream Shop
179,Ex impianto Acea Oletta,41.72858824,12.29036591,Birrifugio,41.731998595300276,12.291004242375118,Pub
180,Ex impianto Acea Oletta,41.72858824,12.29036591,Bar Scala Paradiso,41.73002816199395,12.284849677577009,Café
181,Ex impianto Acea Oletta,41.72858824,12.29036591,Il Curvone Ostia,41.72597845130992,12.285843120316411,Beach
182,Ex impianto Acea Oletta,41.72858824,12.29036591,Le Chat,41.72698936241454,12.285668509713696,Ice Cream Shop
183,Ex impianto Acea Oletta,41.72858824,12.29036591,Guiness pub,41.72658901325494,12.290858799546761,Pub
184,Ex impianto Acea Oletta,41.72858824,12.29036591,The Bellavista Hotel,41.72523090855557,12.28992243483345,Hotel
185,Ex impianto Acea Oletta,41.72858824,12.29036591,Ristorante Pizzeria Zì Catarì,41.72702030880965,12.28509268227939,Seafood Restaurant
186,Ex impianto Acea Oletta,41.72858824,12.29036591,ilcurvone,41.72587008863959,12.285833524706947,Cocktail Bar
187,Ex impianto Acea Oletta,41.72858824,12.29036591,Hotel La Riva - Ostia,41.72534724482033,12.290710630657621,Hotel
188,Ex impianto Acea Oletta,41.72858824,12.29036591,John Bull,41.72647460417873,12.290685578960929,Pub
189,Ex impianto Acea Oletta,41.72858824,12.29036591,Parco 25 Novembre 1884,41.72817169970448,12.286680269550164,Park
190,Ex impianto Acea Oletta,41.72858824,12.29036591,Ristorante Il Defino,41.72482,12.289128,Seafood Restaurant
191,Ex impianto Acea Oletta,41.72858824,12.29036591,Il Delfino,41.724758597808545,12.289195734406306,Beach
192,Ex impianto Acea Oletta,41.72858824,12.29036591,Pizzeria all'angolo,41.731895948872676,12.287339874837176,Pizza Place
193,Ex impianto Acea Oletta,41.72858824,12.29036591,Piazza Sirio,41.724657633358675,12.291577093496391,Plaza
194,Ex impianto Acea Oletta,41.72858824,12.29036591,Il Capanno Ristorante Pizzeria,41.724934,12.287909,Restaurant
195,Ex impianto Acea Oletta,41.72858824,12.29036591,Stella Polare (Roma-Lido),41.72693498019292,12.295522790747608,Metro Station
196,Ex impianto Acea Oletta,41.72858824,12.29036591,Magellano Beach Bar,41.725873346840636,12.285763603063623,Cocktail Bar
197,Ex impianto Acea Oletta,41.72858824,12.29036591,Belsito,41.724201623509565,12.290474488642927,Beach
198,Ex impianto Acea Oletta,41.72858824,12.29036591,Fraschetta La Romanella,41.732693265541556,12.2926336282714,Italian Restaurant
199,Ex impianto Acea Oletta,41.72858824,12.29036591,Capanno,41.72502514454496,12.287820670143795,Beach
